Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Light;Magnetic_x;Magnetic_y;Magnetic_z;Proximity;Latitude;Longitude;Elevation;Speed
20211011_185110.5;0.162;-0.812;9.623;-0.017;0.042;0.004;117.6;-32.644;4.744;-60.563;5.0;-32.87789;-60.69754;45.8;0.0
20211011_185111.0;-0.411;0.472;10.278;0.029;-0.006;0.005;117.6;-33.394;5.850;-62.719;5.0;-32.87792;-60.69752;45.8;12.5
20211011_185111.5;-0.849;0.151;10.213;-0.015;-0.006;0.011;117.6;-33.113;5.850;-60.544;5.0;-32.87792;-60.69752;45.8;12.5
20211011_185112.0;0.087;0.029;10.330;0.015;-0.017;-0.010;106.3;-31.725;7.406;-61.988;5.0;-32.87796;-60.69752;45.7;13.6
20211011_185112.5;-0.772;0.306;9.509;-0.032;0.008;-0.000;106.3;-33.394;5.850;-59.306;5.0;-32.87796;-60.69752;45.7;13.6
20211011_185113.0;-0.676;-0.120;10.081;0.045;0.005;0.005;121.2;-33.188;8.231;-61.950;5.0;-32.87800;-60.69751;46.8;17.3
20211011_185113.5;-0.892;0.048;8.220;0.008;-0.076;-0.001;121.2;-35.138;6.525;-60.188;5.0;-32.87800;-60.69751;46.8;17.3
20211011_185114.0;-0.102;-0.012;9.870;0.040;-0.003;0.021;134.7;-32.475;3.788;-63.038;5.0;-32.87808;-60.69753;47.3;19.7
20211011_185114.5;0.049;-0.400;9.801;0.049;0.019;0.018;134.7;-32.513;5.213;-61.800;5.0;-32.87808;-60.69753;47.3;19.7
20211011_185115.0;-0.950;0.357;9.681;0.010;0.014;0.001;122.1;-32.663;5.531;-61.650;5.0;-32.87812;-60.69751;48.2;20.6
20211011_185115.5;-0.820;0.117;10.180;-0.038;-0.023;-0.011;122.1;-33.338;4.275;-60.075;5.0;-32.87812;-60.69751;48.2;20.6
20211011_185116.0;-0.660;0.524;10.445;-0.015;-0.017;0.010;122.1;-31.969;6.300;-62.756;5.0;-32.87818;-60.69748;48.9;22.3
20211011_185116.5;-0.114;0.577;9.647;-0.030;-0.020;-0.011;122.1;-33.656;5.231;-60.994;5.0;-32.87818;-60.69748;48.9;22.3
20211011_185117.0;-0.389;-0.846;9.576;-0.023;-0.008;-0.023;135.9;-33.788;4.763;-60.075;5.0;-32.87825;-60.69747;47.8;26.4
20211011_185117.5;-0.681;-1.591;9.544;-0.003;0.029;0.001;169.0;-35.363;4.950;-59.400;5.0;-32.87825;-60.69747;47.8;26.4
20211011_185118.0;-0.114;-0.060;9.904;0.005;0.051;-0.008;191.1;-32.400;6.319;-60.094;5.0;-32.87831;-60.69743;50.4;26.9
20211011_185118.5;-0.791;-0.499;9.746;0.009;-0.013;-0.000;213.6;-32.213;4.894;-60.263;5.0;-32.87831;-60.69743;50.4;26.9
20211011_185119.0;0.018;-0.415;9.487;-0.030;0.014;0.003;213.6;-31.463;3.769;-58.725;5.0;-32.87838;-60.69743;49.0;28.3
20211011_185120.0;-0.360;0.024;9.837;-0.028;-0.003;0.001;213.6;-32.344;4.725;-60.094;5.0;-32.87838;-60.69743;49.0;28.3
20211011_185120.5;0.274;-0.209;9.444;-0.025;0.019;0.001;213.6;-33.056;4.275;-61.631;5.0;-32.87846;-60.69742;47.9;29.2
20211011_185121.0;-0.063;-0.262;10.692;-0.015;0.017;0.021;174.4;-31.650;0.919;-54.975;5.0;-32.87846;-60.69742;47.9;29.2
20211011_185121.5;-0.777;-0.360;10.093;0.032;0.006;0.005;157.5;-31.763;4.088;-62.288;5.0;-32.87854;-60.69739;48.6;32.1
20211011_185122.0;-0.279;-0.386;9.604;0.005;-0.001;0.015;157.5;-29.456;4.200;-57.844;5.0;-32.87854;-60.69739;48.6;32.1
20211011_185122.5;0.128;-0.257;9.995;0.075;-0.011;0.009;175.0;-31.763;4.088;-58.406;5.0;-32.87863;-60.69737;48.4;33.8
20211011_185123.0;-0.382;-0.153;9.908;0.018;-0.011;-0.005;175.0;-34.088;5.550;-58.969;5.0;-32.87863;-60.69737;48.4;33.8
20211011_185123.5;-0.463;-1.090;10.414;0.026;0.011;0.020;175.0;-32.381;5.831;-60.563;5.0;-32.87872;-60.69734;49.2;35.6
20211011_185124.0;-0.734;-0.290;8.888;-0.069;-0.035;-0.023;175.0;-31.950;5.831;-60.113;5.0;-32.87872;-60.69734;49.2;35.6
20211011_185124.5;-0.056;-0.460;9.583;0.040;0.043;0.011;175.0;-34.013;2.700;-60.825;5.0;-32.87880;-60.69731;49.8;35.7
20211011_185125.0;-0.190;-0.829;10.366;0.100;-0.001;-0.000;195.4;-31.800;5.194;-59.963;5.0;-32.87880;-60.69731;49.8;35.7
20211011_185125.5;-0.035;-0.300;9.413;0.068;-0.031;0.017;220.1;-31.631;4.725;-60.113;5.0;-32.87889;-60.69728;49.9;36.9
